participant,topic,question_uid,system,phase,correct,article_id,question_in_set,article_key
G3a_1,29733,29733_q1,Baseline,pre,0,29733,1,news_2
G3a_1,29733,29733_q2,Baseline,pre,0,29733,2,news_2
G3a_1,29733,29733_q3,Baseline,pre,1,29733,3,news_2
G3a_1,29733,29733_q4,Baseline,pre,0,29733,4,news_2
G3a_1,29733,29733_q5,Baseline,pre,1,29733,5,news_2
G3a_1,29733,29733_q6,Baseline,pre,0,29733,6,news_2
G3a_1,29734,29734_q1,Baseline,pre,0,29734,1,news_2
G3a_1,29734,29734_q2,Baseline,pre,1,29734,2,news_2
G3a_1,29734,29734_q3,Baseline,pre,0,29734,3,news_2
G3a_1,29734,29734_q4,Baseline,pre,0,29734,4,news_2
G3a_1,29734,29734_q5,Baseline,pre,0,29734,5,news_2
G3a_1,29734,29734_q6,Baseline,pre,0,29734,6,news_2
G3a_1,29739,29739_q1,Ours,pre,1,29739,1,news_0
G3a_1,29739,29739_q2,Ours,pre,0,29739,2,news_0
G3a_1,29739,29739_q3,Ours,pre,0,29739,3,news_0
G3a_1,29739,29739_q4,Ours,pre,1,29739,4,news_0
G3a_1,29739,29739_q5,Ours,pre,0,29739,5,news_0
G3a_1,29739,29739_q6,Ours,pre,0,29739,6,news_0
G3a_1,29753,29753_q1,Baseline,pre,1,29753,1,news_2
G3a_1,29753,29753_q2,Baseline,pre,0,29753,2,news_2
G3a_1,29753,29753_q3,Baseline,pre,0,29753,3,news_2
G3a_1,29753,29753_q4,Baseline,pre,0,29753,4,news_2
G3a_1,29753,29753_q5,Baseline,pre,0,29753,5,news_2
G3a_1,29753,29753_q6,Baseline,pre,0,29753,6,news_2
G3a_1,29775,29775_q1,Ours,pre,1,29775,1,news_0
G3a_1,29775,29775_q2,Ours,pre,1,29775,2,news_0
G3a_1,29775,29775_q3,Ours,pre,1,29775,3,news_0
G3a_1,29775,29775_q4,Ours,pre,1,29775,4,news_0
G3a_1,29775,29775_q5,Ours,pre,1,29775,5,news_0
G3a_1,29775,29775_q6,Ours,pre,0,29775,6,news_0
G3a_1,29802,29802_q1,Ours,pre,1,29802,1,news_0
G3a_1,29802,29802_q2,Ours,pre,0,29802,2,news_0
G3a_1,29802,29802_q3,Ours,pre,1,29802,3,news_0
G3a_1,29802,29802_q4,Ours,pre,0,29802,4,news_0
G3a_1,29802,29802_q5,Ours,pre,0,29802,5,news_0
G3a_1,29802,29802_q6,Ours,pre,1,29802,6,news_0
G3a_1,29846,29846_q1,Baseline,pre,0,29846,1,news_2
G3a_1,29846,29846_q2,Baseline,pre,1,29846,2,news_2
G3a_1,29846,29846_q3,Baseline,pre,0,29846,3,news_2
G3a_1,29846,29846_q4,Baseline,pre,0,29846,4,news_2
G3a_1,29846,29846_q5,Baseline,pre,0,29846,5,news_2
G3a_1,29846,29846_q6,Baseline,pre,0,29846,6,news_2
G3a_1,29866,29866_q1,Ours,pre,0,29866,1,news_0
G3a_1,29866,29866_q2,Ours,pre,0,29866,2,news_0
G3a_1,29866,29866_q3,Ours,pre,0,29866,3,news_0
G3a_1,29866,29866_q4,Ours,pre,0,29866,4,news_0
G3a_1,29866,29866_q5,Ours,pre,0,29866,5,news_0
G3a_1,29866,29866_q6,Ours,pre,0,29866,6,news_0
G3a_1,29873,29873_q1,Ours,pre,0,29873,1,news_0
G3a_1,29873,29873_q2,Ours,pre,0,29873,2,news_0
G3a_1,29873,29873_q3,Ours,pre,0,29873,3,news_0
G3a_1,29873,29873_q4,Ours,pre,0,29873,4,news_0
G3a_1,29873,29873_q5,Ours,pre,0,29873,5,news_0
G3a_1,29873,29873_q6,Ours,pre,0,29873,6,news_0
G3a_1,29902,29902_q1,Ours,pre,0,29902,1,news_0
G3a_1,29902,29902_q2,Ours,pre,0,29902,2,news_0
G3a_1,29902,29902_q3,Ours,pre,0,29902,3,news_0
G3a_1,29902,29902_q4,Ours,pre,0,29902,4,news_0
G3a_1,29902,29902_q5,Ours,pre,0,29902,5,news_0
G3a_1,29902,29902_q6,Ours,pre,0,29902,6,news_0
G3a_1,29929,29929_q1,Ours,pre,0,29929,1,news_0
G3a_1,29929,29929_q2,Ours,pre,0,29929,2,news_0
G3a_1,29929,29929_q3,Ours,pre,0,29929,3,news_0
G3a_1,29929,29929_q4,Ours,pre,0,29929,4,news_0
G3a_1,29929,29929_q5,Ours,pre,0,29929,5,news_0
G3a_1,29929,29929_q6,Ours,pre,0,29929,6,news_0
G3a_1,29943,29943_q1,Baseline,pre,0,29943,1,news_2
G3a_1,29943,29943_q2,Baseline,pre,0,29943,2,news_2
G3a_1,29943,29943_q3,Baseline,pre,0,29943,3,news_2
G3a_1,29943,29943_q4,Baseline,pre,0,29943,4,news_2
G3a_1,29943,29943_q5,Baseline,pre,0,29943,5,news_2
G3a_1,29943,29943_q6,Baseline,pre,0,29943,6,news_2
G3a_1,29958,29958_q1,Baseline,pre,0,29958,1,news_2
G3a_1,29958,29958_q2,Baseline,pre,0,29958,2,news_2
G3a_1,29958,29958_q3,Baseline,pre,0,29958,3,news_2
G3a_1,29958,29958_q4,Baseline,pre,0,29958,4,news_2
G3a_1,29958,29958_q5,Baseline,pre,0,29958,5,news_2
G3a_1,29958,29958_q6,Baseline,pre,0,29958,6,news_2
G3a_1,29988,29988_q1,Baseline,pre,0,29988,1,news_2
G3a_1,29988,29988_q2,Baseline,pre,0,29988,2,news_2
G3a_1,29988,29988_q3,Baseline,pre,0,29988,3,news_2
G3a_1,29988,29988_q4,Baseline,pre,0,29988,4,news_2
G3a_1,29988,29988_q5,Baseline,pre,0,29988,5,news_2
G3a_1,29988,29988_q6,Baseline,pre,0,29988,6,news_2
G3a_1,30052,30052_q1,Ours,pre,0,30052,1,news_0
G3a_1,30052,30052_q2,Ours,pre,0,30052,2,news_0
G3a_1,30052,30052_q3,Ours,pre,0,30052,3,news_0
G3a_1,30052,30052_q4,Ours,pre,0,30052,4,news_0
G3a_1,30052,30052_q5,Ours,pre,0,30052,5,news_0
G3a_1,30052,30052_q6,Ours,pre,0,30052,6,news_0
G3a_1,30061,30061_q1,Baseline,pre,0,30061,1,news_2
G3a_1,30061,30061_q2,Baseline,pre,0,30061,2,news_2
G3a_1,30061,30061_q3,Baseline,pre,0,30061,3,news_2
G3a_1,30061,30061_q4,Baseline,pre,0,30061,4,news_2
G3a_1,30061,30061_q5,Baseline,pre,0,30061,5,news_2
G3a_1,30061,30061_q6,Baseline,pre,0,30061,6,news_2
G3a_1,30086,30086_q1,Ours,pre,0,30086,1,news_0
G3a_1,30086,30086_q2,Ours,pre,0,30086,2,news_0
G3a_1,30086,30086_q3,Ours,pre,0,30086,3,news_0
G3a_1,30086,30086_q4,Ours,pre,0,30086,4,news_0
G3a_1,30086,30086_q5,Ours,pre,0,30086,5,news_0
G3a_1,30086,30086_q6,Ours,pre,0,30086,6,news_0
G3a_1,30184,30184_q1,Ours,pre,0,30184,1,news_0
G3a_1,30184,30184_q2,Ours,pre,0,30184,2,news_0
G3a_1,30184,30184_q3,Ours,pre,0,30184,3,news_0
G3a_1,30184,30184_q4,Ours,pre,0,30184,4,news_0
G3a_1,30184,30184_q5,Ours,pre,0,30184,5,news_0
G3a_1,30184,30184_q6,Ours,pre,0,30184,6,news_0
G3a_1,30214,30214_q1,Baseline,pre,1,30214,1,news_2
G3a_1,30214,30214_q2,Baseline,pre,0,30214,2,news_2
G3a_1,30214,30214_q3,Baseline,pre,0,30214,3,news_2
G3a_1,30214,30214_q4,Baseline,pre,0,30214,4,news_2
G3a_1,30214,30214_q5,Baseline,pre,0,30214,5,news_2
G3a_1,30214,30214_q6,Baseline,pre,0,30214,6,news_2
G3a_1,30708,30708_q1,Baseline,pre,1,30708,1,news_2
G3a_1,30708,30708_q2,Baseline,pre,1,30708,2,news_2
G3a_1,30708,30708_q3,Baseline,pre,1,30708,3,news_2
G3a_1,30708,30708_q4,Baseline,pre,1,30708,4,news_2
G3a_1,30708,30708_q5,Baseline,pre,1,30708,5,news_2
G3a_1,30708,30708_q6,Baseline,pre,1,30708,6,news_2
G3a_2,29733,29733_q1,Baseline,pre,0,29733,1,news_2
G3a_2,29733,29733_q2,Baseline,pre,0,29733,2,news_2
G3a_2,29733,29733_q3,Baseline,pre,0,29733,3,news_2
G3a_2,29733,29733_q4,Baseline,pre,0,29733,4,news_2
G3a_2,29733,29733_q5,Baseline,pre,1,29733,5,news_2
G3a_2,29733,29733_q6,Baseline,pre,1,29733,6,news_2
G3a_2,29734,29734_q1,Baseline,pre,0,29734,1,news_2
G3a_2,29734,29734_q2,Baseline,pre,0,29734,2,news_2
G3a_2,29734,29734_q3,Baseline,pre,1,29734,3,news_2
G3a_2,29734,29734_q4,Baseline,pre,0,29734,4,news_2
G3a_2,29734,29734_q5,Baseline,pre,0,29734,5,news_2
G3a_2,29734,29734_q6,Baseline,pre,1,29734,6,news_2
G3a_2,29739,29739_q1,Ours,pre,1,29739,1,news_0
G3a_2,29739,29739_q2,Ours,pre,1,29739,2,news_0
G3a_2,29739,29739_q3,Ours,pre,0,29739,3,news_0
G3a_2,29739,29739_q4,Ours,pre,1,29739,4,news_0
G3a_2,29739,29739_q5,Ours,pre,1,29739,5,news_0
G3a_2,29739,29739_q6,Ours,pre,1,29739,6,news_0
G3a_2,29753,29753_q1,Baseline,pre,1,29753,1,news_2
G3a_2,29753,29753_q2,Baseline,pre,0,29753,2,news_2
G3a_2,29753,29753_q3,Baseline,pre,1,29753,3,news_2
G3a_2,29753,29753_q4,Baseline,pre,0,29753,4,news_2
G3a_2,29753,29753_q5,Baseline,pre,0,29753,5,news_2
G3a_2,29753,29753_q6,Baseline,pre,1,29753,6,news_2
G3a_2,29775,29775_q1,Ours,pre,1,29775,1,news_0
G3a_2,29775,29775_q2,Ours,pre,1,29775,2,news_0
G3a_2,29775,29775_q3,Ours,pre,1,29775,3,news_0
G3a_2,29775,29775_q4,Ours,pre,0,29775,4,news_0
G3a_2,29775,29775_q5,Ours,pre,1,29775,5,news_0
G3a_2,29775,29775_q6,Ours,pre,1,29775,6,news_0
G3a_2,29802,29802_q1,Ours,pre,1,29802,1,news_0
G3a_2,29802,29802_q2,Ours,pre,1,29802,2,news_0
G3a_2,29802,29802_q3,Ours,pre,1,29802,3,news_0
G3a_2,29802,29802_q4,Ours,pre,1,29802,4,news_0
G3a_2,29802,29802_q5,Ours,pre,1,29802,5,news_0
G3a_2,29802,29802_q6,Ours,pre,1,29802,6,news_0
G3a_2,29846,29846_q1,Baseline,pre,0,29846,1,news_2
G3a_2,29846,29846_q2,Baseline,pre,1,29846,2,news_2
G3a_2,29846,29846_q3,Baseline,pre,0,29846,3,news_2
G3a_2,29846,29846_q4,Baseline,pre,1,29846,4,news_2
G3a_2,29846,29846_q5,Baseline,pre,1,29846,5,news_2
G3a_2,29846,29846_q6,Baseline,pre,0,29846,6,news_2
G3a_2,29866,29866_q1,Ours,pre,0,29866,1,news_0
G3a_2,29866,29866_q2,Ours,pre,0,29866,2,news_0
G3a_2,29866,29866_q3,Ours,pre,0,29866,3,news_0
G3a_2,29866,29866_q4,Ours,pre,0,29866,4,news_0
G3a_2,29866,29866_q5,Ours,pre,0,29866,5,news_0
G3a_2,29866,29866_q6,Ours,pre,0,29866,6,news_0
G3a_2,29873,29873_q1,Ours,pre,0,29873,1,news_0
G3a_2,29873,29873_q2,Ours,pre,0,29873,2,news_0
G3a_2,29873,29873_q3,Ours,pre,0,29873,3,news_0
G3a_2,29873,29873_q4,Ours,pre,0,29873,4,news_0
G3a_2,29873,29873_q5,Ours,pre,0,29873,5,news_0
G3a_2,29873,29873_q6,Ours,pre,1,29873,6,news_0
G3a_2,29902,29902_q1,Ours,pre,0,29902,1,news_0
G3a_2,29902,29902_q2,Ours,pre,0,29902,2,news_0
G3a_2,29902,29902_q3,Ours,pre,0,29902,3,news_0
G3a_2,29902,29902_q4,Ours,pre,0,29902,4,news_0
G3a_2,29902,29902_q5,Ours,pre,0,29902,5,news_0
G3a_2,29902,29902_q6,Ours,pre,0,29902,6,news_0
G3a_2,29929,29929_q1,Ours,pre,0,29929,1,news_0
G3a_2,29929,29929_q2,Ours,pre,0,29929,2,news_0
G3a_2,29929,29929_q3,Ours,pre,0,29929,3,news_0
G3a_2,29929,29929_q4,Ours,pre,0,29929,4,news_0
G3a_2,29929,29929_q5,Ours,pre,0,29929,5,news_0
G3a_2,29929,29929_q6,Ours,pre,0,29929,6,news_0
G3a_2,29943,29943_q1,Baseline,pre,0,29943,1,news_2
G3a_2,29943,29943_q2,Baseline,pre,0,29943,2,news_2
G3a_2,29943,29943_q3,Baseline,pre,0,29943,3,news_2
G3a_2,29943,29943_q4,Baseline,pre,0,29943,4,news_2
G3a_2,29943,29943_q5,Baseline,pre,0,29943,5,news_2
G3a_2,29943,29943_q6,Baseline,pre,1,29943,6,news_2
G3a_2,29958,29958_q1,Baseline,pre,0,29958,1,news_2
G3a_2,29958,29958_q2,Baseline,pre,0,29958,2,news_2
G3a_2,29958,29958_q3,Baseline,pre,0,29958,3,news_2
G3a_2,29958,29958_q4,Baseline,pre,0,29958,4,news_2
G3a_2,29958,29958_q5,Baseline,pre,0,29958,5,news_2
G3a_2,29958,29958_q6,Baseline,pre,0,29958,6,news_2
G3a_2,29988,29988_q1,Baseline,pre,0,29988,1,news_2
G3a_2,29988,29988_q2,Baseline,pre,0,29988,2,news_2
G3a_2,29988,29988_q3,Baseline,pre,0,29988,3,news_2
G3a_2,29988,29988_q4,Baseline,pre,0,29988,4,news_2
G3a_2,29988,29988_q5,Baseline,pre,0,29988,5,news_2
G3a_2,29988,29988_q6,Baseline,pre,0,29988,6,news_2
G3a_2,30052,30052_q1,Ours,pre,0,30052,1,news_0
G3a_2,30052,30052_q2,Ours,pre,0,30052,2,news_0
G3a_2,30052,30052_q3,Ours,pre,0,30052,3,news_0
G3a_2,30052,30052_q4,Ours,pre,0,30052,4,news_0
G3a_2,30052,30052_q5,Ours,pre,0,30052,5,news_0
G3a_2,30052,30052_q6,Ours,pre,0,30052,6,news_0
G3a_2,30061,30061_q1,Baseline,pre,0,30061,1,news_2
G3a_2,30061,30061_q2,Baseline,pre,0,30061,2,news_2
G3a_2,30061,30061_q3,Baseline,pre,0,30061,3,news_2
G3a_2,30061,30061_q4,Baseline,pre,0,30061,4,news_2
G3a_2,30061,30061_q5,Baseline,pre,0,30061,5,news_2
G3a_2,30061,30061_q6,Baseline,pre,0,30061,6,news_2
G3a_2,30086,30086_q1,Ours,pre,0,30086,1,news_0
G3a_2,30086,30086_q2,Ours,pre,0,30086,2,news_0
G3a_2,30086,30086_q3,Ours,pre,0,30086,3,news_0
G3a_2,30086,30086_q4,Ours,pre,0,30086,4,news_0
G3a_2,30086,30086_q5,Ours,pre,0,30086,5,news_0
G3a_2,30086,30086_q6,Ours,pre,0,30086,6,news_0
G3a_2,30184,30184_q1,Ours,pre,0,30184,1,news_0
G3a_2,30184,30184_q2,Ours,pre,0,30184,2,news_0
G3a_2,30184,30184_q3,Ours,pre,0,30184,3,news_0
G3a_2,30184,30184_q4,Ours,pre,0,30184,4,news_0
G3a_2,30184,30184_q5,Ours,pre,0,30184,5,news_0
G3a_2,30184,30184_q6,Ours,pre,0,30184,6,news_0
G3a_2,30214,30214_q1,Baseline,pre,0,30214,1,news_2
G3a_2,30214,30214_q2,Baseline,pre,0,30214,2,news_2
G3a_2,30214,30214_q3,Baseline,pre,0,30214,3,news_2
G3a_2,30214,30214_q4,Baseline,pre,0,30214,4,news_2
G3a_2,30214,30214_q5,Baseline,pre,0,30214,5,news_2
G3a_2,30214,30214_q6,Baseline,pre,0,30214,6,news_2
G3a_2,30708,30708_q1,Baseline,pre,1,30708,1,news_2
G3a_2,30708,30708_q2,Baseline,pre,1,30708,2,news_2
G3a_2,30708,30708_q3,Baseline,pre,1,30708,3,news_2
G3a_2,30708,30708_q4,Baseline,pre,1,30708,4,news_2
G3a_2,30708,30708_q5,Baseline,pre,1,30708,5,news_2
G3a_2,30708,30708_q6,Baseline,pre,1,30708,6,news_2
G3a_3,29733,29733_q1,Baseline,pre,1,29733,1,news_2
G3a_3,29733,29733_q2,Baseline,pre,0,29733,2,news_2
G3a_3,29733,29733_q3,Baseline,pre,0,29733,3,news_2
G3a_3,29733,29733_q4,Baseline,pre,0,29733,4,news_2
G3a_3,29733,29733_q5,Baseline,pre,1,29733,5,news_2
G3a_3,29733,29733_q6,Baseline,pre,0,29733,6,news_2
G3a_3,29734,29734_q1,Baseline,pre,1,29734,1,news_2
G3a_3,29734,29734_q2,Baseline,pre,0,29734,2,news_2
G3a_3,29734,29734_q3,Baseline,pre,1,29734,3,news_2
G3a_3,29734,29734_q4,Baseline,pre,0,29734,4,news_2
G3a_3,29734,29734_q5,Baseline,pre,0,29734,5,news_2
G3a_3,29734,29734_q6,Baseline,pre,0,29734,6,news_2
G3a_3,29739,29739_q1,Ours,pre,1,29739,1,news_0
G3a_3,29739,29739_q2,Ours,pre,0,29739,2,news_0
G3a_3,29739,29739_q3,Ours,pre,0,29739,3,news_0
G3a_3,29739,29739_q4,Ours,pre,0,29739,4,news_0
G3a_3,29739,29739_q5,Ours,pre,0,29739,5,news_0
G3a_3,29739,29739_q6,Ours,pre,0,29739,6,news_0
G3a_3,29753,29753_q1,Baseline,pre,1,29753,1,news_2
G3a_3,29753,29753_q2,Baseline,pre,0,29753,2,news_2
G3a_3,29753,29753_q3,Baseline,pre,0,29753,3,news_2
G3a_3,29753,29753_q4,Baseline,pre,0,29753,4,news_2
G3a_3,29753,29753_q5,Baseline,pre,0,29753,5,news_2
G3a_3,29753,29753_q6,Baseline,pre,1,29753,6,news_2
G3a_3,29775,29775_q1,Ours,pre,1,29775,1,news_0
G3a_3,29775,29775_q2,Ours,pre,1,29775,2,news_0
G3a_3,29775,29775_q3,Ours,pre,0,29775,3,news_0
G3a_3,29775,29775_q4,Ours,pre,1,29775,4,news_0
G3a_3,29775,29775_q5,Ours,pre,0,29775,5,news_0
G3a_3,29775,29775_q6,Ours,pre,0,29775,6,news_0
G3a_3,29802,29802_q1,Ours,pre,0,29802,1,news_0
G3a_3,29802,29802_q2,Ours,pre,0,29802,2,news_0
G3a_3,29802,29802_q3,Ours,pre,0,29802,3,news_0
G3a_3,29802,29802_q4,Ours,pre,0,29802,4,news_0
G3a_3,29802,29802_q5,Ours,pre,0,29802,5,news_0
G3a_3,29802,29802_q6,Ours,pre,0,29802,6,news_0
G3a_3,29846,29846_q1,Baseline,pre,0,29846,1,news_2
G3a_3,29846,29846_q2,Baseline,pre,1,29846,2,news_2
G3a_3,29846,29846_q3,Baseline,pre,0,29846,3,news_2
G3a_3,29846,29846_q4,Baseline,pre,0,29846,4,news_2
G3a_3,29846,29846_q5,Baseline,pre,0,29846,5,news_2
G3a_3,29846,29846_q6,Baseline,pre,0,29846,6,news_2
G3a_3,29866,29866_q1,Ours,pre,0,29866,1,news_0
G3a_3,29866,29866_q2,Ours,pre,0,29866,2,news_0
