Metric,Signal,metric_col,llmsim_n,llmsim_spearman,llmsim_spearman_p,llmsim_kendall,llmsim_kendall_p,llmsim_pearson,llmsim_pearson_p,human_n,human_spearman,human_spearman_p,human_kendall,human_kendall_p,human_pearson,human_pearson_p
ROUGE-1,Unigram source overlap,rouge1,40.0,0.09785158125434769,0.5480479087944299,0.0641849052593115,0.5601418508183525,0.03633683787340239,0.8238465759611091,40,0.17692307692307696,0.2747798696877718,0.12051282051282051,0.2734302307898985,0.18950366257023027,0.24153033854375974
ROUGE-2,Bigram source overlap,rouge2,40.0,0.0780561031674183,0.6321183118469149,0.046213131786704276,0.6748549977916105,0.037309811776684576,0.8192071048681713,40,0.2956848030018762,0.0639629680894202,0.2076923076923077,0.059097460390642065,0.2670023431360321,0.09581020989720541
ROUGE-L,Longest-sequence source overlap,rougeL,40.0,0.02542452398842591,0.8762498537749077,0.017971773472607224,0.8704108590638878,0.018703775693756107,0.908800309334674,40,0.20544090056285183,0.20346650378279924,0.13846153846153847,0.20827903970656647,0.2276921625883187,0.15764801155121705
BLEU,N-gram precision vs. source,bleu,40.0,0.07571066737512808,0.6424186161728236,0.06161750904893904,0.5759395334982087,0.001015631445206458,0.9950374095026013,40,0.2671669793621013,0.09559789991110061,0.16666666666666669,0.12986499204150967,0.1728030737290846,0.2862908509897598
BERTScore,Semantic source similarity,bertscore,40.0,-0.17525096239992474,0.27941450540745105,-0.12066762188750563,0.2733651045982659,-0.19424751187721662,0.22973052482538106,40,0.23245778611632273,0.1488991986577843,0.14871794871794874,0.1765289147526533,0.19961051589227907,0.21687196586364704
LLM judge accuracy,Factual faithfulness,llm_judge_accuracy,40.0,0.3245763025292328,0.041012972619727375,0.25602297763105786,0.03986116613946323,0.35438137267408887,0.024857965782657993,40,0.29097911684002276,0.06851589797221565,0.24000775124054657,0.05374390381590495,0.20184089098569966,0.21167358472080416
LLM judge completeness,Content coverage,llm_judge_completeness,40.0,0.1954165902909015,0.2268841039595226,0.16119457260563227,0.219231099282149,0.2022228768856653,0.21079202885483442,40,-0.01574083562935881,0.9232006635833825,-0.012383675404067696,0.9247145693998117,-0.019154678148957886,0.9066112582580406
LLM judge relevance,Topical usefulness,llm_judge_relevance,40.0,0.34571924726989084,0.028884604516982465,0.28437130621240203,0.0287662103166145,0.38493775054650836,0.014178928783468048,40,0.03304085253455382,0.8396060281785144,0.028199226315922536,0.8281338590419892,0.0018614437304250234,0.9909047242108672
LLM judge clarity,Readability/accessibility,llm_judge_clarity,40.0,0.21581544149133594,0.1810664284038991,0.1795388705236944,0.1713566613745534,0.17380917237628607,0.283451463694061,40,0.08926073982886737,0.5838783890103311,0.0722586672853251,0.5815147652065272,0.230348435741176,0.15272661916093214
LLM judge expected \textsc{KGain},Judge-estimated learning,llm_judge_expected_kgain,40.0,0.1651531997176979,0.3084814147588068,0.136684747194708,0.30236199892925786,0.18929976531170645,0.24204652038547872,40,0.16784488170688136,0.30055225061344504,0.13874725684514014,0.29455063917534186,0.11912603308030847,0.4640822185762501
\textsc{LLMSim} norm. \textsc{KGain},Simulated reader learning,llmsim_norm_kgain,,,,,,,,40,0.16680739354767998,0.30359290237375336,0.10012845220452594,0.36340075744837874,0.13613028629715482,0.40227135826982435
