respondent,position,article_id,system,system_key,dimension,score,reason_text
R_7IrC3IDN1ZGMngl,1,29733,Ours,news_0,Accuracy,5.0,
R_7IrC3IDN1ZGMngl,1,29733,Ours,news_0,Completeness,5.0,
R_7IrC3IDN1ZGMngl,1,29733,Ours,news_0,Relevance,4.0,
R_7IrC3IDN1ZGMngl,1,29733,Ours,news_0,Clarity,3.0,
R_7IrC3IDN1ZGMngl,2,29734,Agentic,news_2,Accuracy,1.0,
R_7IrC3IDN1ZGMngl,2,29734,Agentic,news_2,Completeness,4.0,
R_7IrC3IDN1ZGMngl,2,29734,Agentic,news_2,Relevance,3.0,
R_7IrC3IDN1ZGMngl,2,29734,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,3,29739,Agentic,news_2,Accuracy,2.0,
R_7IrC3IDN1ZGMngl,3,29739,Agentic,news_2,Completeness,4.0,
R_7IrC3IDN1ZGMngl,3,29739,Agentic,news_2,Relevance,4.0,
R_7IrC3IDN1ZGMngl,3,29739,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,4,29753,Ours,news_0,Accuracy,5.0,
R_7IrC3IDN1ZGMngl,4,29753,Ours,news_0,Completeness,5.0,
R_7IrC3IDN1ZGMngl,4,29753,Ours,news_0,Relevance,4.0,
R_7IrC3IDN1ZGMngl,4,29753,Ours,news_0,Clarity,4.0,
R_7IrC3IDN1ZGMngl,5,29775,Agentic,news_2,Accuracy,3.0,
R_7IrC3IDN1ZGMngl,5,29775,Agentic,news_2,Completeness,3.0,
R_7IrC3IDN1ZGMngl,5,29775,Agentic,news_2,Relevance,3.0,
R_7IrC3IDN1ZGMngl,5,29775,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,6,29802,Ours,news_0,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,6,29802,Ours,news_0,Completeness,4.0,
R_7IrC3IDN1ZGMngl,6,29802,Ours,news_0,Relevance,4.0,
R_7IrC3IDN1ZGMngl,6,29802,Ours,news_0,Clarity,5.0,
R_7IrC3IDN1ZGMngl,7,29846,Ours,news_0,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,7,29846,Ours,news_0,Completeness,5.0,
R_7IrC3IDN1ZGMngl,7,29846,Ours,news_0,Relevance,4.0,
R_7IrC3IDN1ZGMngl,7,29846,Ours,news_0,Clarity,3.0,
R_7IrC3IDN1ZGMngl,8,29866,Agentic,news_2,Accuracy,1.0,
R_7IrC3IDN1ZGMngl,8,29866,Agentic,news_2,Completeness,3.0,
R_7IrC3IDN1ZGMngl,8,29866,Agentic,news_2,Relevance,3.0,
R_7IrC3IDN1ZGMngl,8,29866,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,9,29873,Ours,news_0,Accuracy,5.0,
R_7IrC3IDN1ZGMngl,9,29873,Ours,news_0,Completeness,5.0,
R_7IrC3IDN1ZGMngl,9,29873,Ours,news_0,Relevance,5.0,
R_7IrC3IDN1ZGMngl,9,29873,Ours,news_0,Clarity,5.0,
R_7IrC3IDN1ZGMngl,10,29929,Agentic,news_2,Accuracy,3.0,
R_7IrC3IDN1ZGMngl,10,29929,Agentic,news_2,Completeness,3.0,
R_7IrC3IDN1ZGMngl,10,29929,Agentic,news_2,Relevance,4.0,
R_7IrC3IDN1ZGMngl,10,29929,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,11,29902,Agentic,news_2,Accuracy,3.0,
R_7IrC3IDN1ZGMngl,11,29902,Agentic,news_2,Completeness,4.0,
R_7IrC3IDN1ZGMngl,11,29902,Agentic,news_2,Relevance,3.0,
R_7IrC3IDN1ZGMngl,11,29902,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,12,29943,Ours,news_0,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,12,29943,Ours,news_0,Completeness,4.0,
R_7IrC3IDN1ZGMngl,12,29943,Ours,news_0,Relevance,4.0,
R_7IrC3IDN1ZGMngl,12,29943,Ours,news_0,Clarity,3.0,
R_7IrC3IDN1ZGMngl,13,29958,Agentic,news_2,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,13,29958,Agentic,news_2,Completeness,4.0,
R_7IrC3IDN1ZGMngl,13,29958,Agentic,news_2,Relevance,3.0,
R_7IrC3IDN1ZGMngl,13,29958,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,14,29988,Agentic,news_2,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,14,29988,Agentic,news_2,Completeness,4.0,
R_7IrC3IDN1ZGMngl,14,29988,Agentic,news_2,Relevance,4.0,
R_7IrC3IDN1ZGMngl,14,29988,Agentic,news_2,Clarity,4.0,
R_7IrC3IDN1ZGMngl,15,30052,Ours,news_0,Accuracy,5.0,
R_7IrC3IDN1ZGMngl,15,30052,Ours,news_0,Completeness,5.0,
R_7IrC3IDN1ZGMngl,15,30052,Ours,news_0,Relevance,5.0,
R_7IrC3IDN1ZGMngl,15,30052,Ours,news_0,Clarity,5.0,
R_7IrC3IDN1ZGMngl,16,30061,Ours,news_0,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,16,30061,Ours,news_0,Completeness,,
R_7IrC3IDN1ZGMngl,16,30061,Ours,news_0,Relevance,4.0,
R_7IrC3IDN1ZGMngl,16,30061,Ours,news_0,Clarity,4.0,
R_7IrC3IDN1ZGMngl,17,30086,Agentic,news_2,Accuracy,3.0,
R_7IrC3IDN1ZGMngl,17,30086,Agentic,news_2,Completeness,3.0,
R_7IrC3IDN1ZGMngl,17,30086,Agentic,news_2,Relevance,3.0,
R_7IrC3IDN1ZGMngl,17,30086,Agentic,news_2,Clarity,3.0,
R_7IrC3IDN1ZGMngl,18,30184,Ours,news_0,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,18,30184,Ours,news_0,Completeness,4.0,
R_7IrC3IDN1ZGMngl,18,30184,Ours,news_0,Relevance,4.0,
R_7IrC3IDN1ZGMngl,18,30184,Ours,news_0,Clarity,4.0,
R_7IrC3IDN1ZGMngl,19,30214,Ours,news_0,Accuracy,4.0,
R_7IrC3IDN1ZGMngl,19,30214,Ours,news_0,Completeness,4.0,
R_7IrC3IDN1ZGMngl,19,30214,Ours,news_0,Relevance,4.0,
